"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"chromSizes_hg19","A dataset containing chromosome sizes for the Homo sapiens hg19 genome assembly","3.12","hg19","UCSC track","https://bioconductor.org/packages/release/data/annotation/html/BSgenome.Hsapiens.UCSC.hg19.html","Sep 2 2020","Homo sapiens",9606,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","Int","Rda","GenomicDistributionsData/data/chromSizes_hg19.rda",""
"chromSizes_hg38","A dataset containing chromosome sizes for the Homo sapiens hg38 genome assembly","3.12","hg38","UCSC track","https://bioconductor.org/packages/release/data/annotation/html/BSgenome.Hsapiens.UCSC.hg38.html","Sep 2 2020","Homo sapiens",9606,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","Int","Rda","GenomicDistributionsData/data/chromSizes_hg38.rda",""
"chromSizes_mm9","A dataset containing chromosome sizes for the Mus musculus mm9 genome assembly","3.12","mm9","UCSC track","https://bioconductor.org/packages/release/data/annotation/html/BSgenome.Mmusculus.UCSC.mm9.html","Sep 2 2020","Mus musculus",10090,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","Int","Rda","GenomicDistributionsData/data/chromSizes_mm9.rda",""
"chromSizes_mm10","A dataset containing chromosome sizes for the Mus musculus mm10 genome assembly","3.12","mm10","UCSC track","https://bioconductor.org/packages/release/data/annotation/html/BSgenome.Mmusculus.UCSC.mm10.html","Sep 2 2020","Mus musculus",10090,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","Int","Rda","GenomicDistributionsData/data/chromSizes_mm10.rda",""
"TSS_hg19","A dataset containing Transcription Start Sites (TSS) for the Homo sapiens hg19 genome assembly","3.12","hg19","ensembl","https://bioconductor.org/packages/release/data/annotation/html/EnsDb.Hsapiens.v75.html","Sep 2 2020","Homo sapiens",9606,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","GRanges","Rda","GenomicDistributionsData/data/TSS_hg19.rda",""
"TSS_hg38","A dataset containing Transcription Start Sites (TSS) for the Homo sapiens hg38 genome assembly","3.12","hg38","ensembl","https://bioconductor.org/packages/release/data/annotation/html/EnsDb.Hsapiens.v86.html","Sep 2 2020","Homo sapiens",9606,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","GRanges","Rda","GenomicDistributionsData/data/TSS_hg38.rda",""
"TSS_mm9","A dataset containing Transcription Start Sites (TSS) for the Mus musculus mm9 genome assembly","3.12","mm9","ensembl","https://bioconductor.org/packages/release/data/annotation/html/EnsDb.Mmusculus.v79.html","Sep 2 2020","Mus musculus",10090,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","GRanges","Rda","GenomicDistributionsData/data/TSS_mm9.rda",""
"TSS_mm10","A dataset containing Transcription Start Sites (TSS) for the Mus musculus mm10 genome assembly","3.12","mm10","ensembl","https://bioconductor.org/packages/release/data/annotation/html/TxDb.Mmusculus.UCSC.mm9.knownGene.html","Sep 2 2020","Mus musculus",10090,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","GRanges","Rda","GenomicDistributionsData/data/TSS_mm10.rda",""
"geneModels_hg19","A dataset containing gene and exons locations for the Homo sapiens hg19 genome assembly","3.12","hg19","ensembl","https://bioconductor.org/packages/release/data/annotation/html/EnsDb.Hsapiens.v75.html","Sep 2 2020","Homo sapiens",9606,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","list with 4 GRanges","Rda","GenomicDistributionsData/data/geneModels_hg19.rda",""
"geneModels_hg38","A dataset containing gene and exons locations for the Homo sapiens hg38 genome assembly","3.12","hg38","ensembl","https://bioconductor.org/packages/release/data/annotation/html/EnsDb.Hsapiens.v86.html","Sep 2 2020","Homo sapiens",9606,TRUE,"Ensdb","Michal Stolarczyk <mjs5kd@virginia.edu>","list with 4 GRanges","Rda","GenomicDistributionsData/data/geneModels_hg38.rda",""
